counts	number of items in equivalence class	isoforms in equivalence class
231379	0	NA
13	1	ENST00000003302
1	1	ENST00000005286
3	1	ENST00000020926
217	1	ENST00000039989
901	1	ENST00000054950
2	1	ENST00000064778
82	1	ENST00000064780
275	1	ENST00000164133
5	1	ENST00000176195
33	1	ENST00000200135
1986	1	ENST00000227155
16	1	ENST00000227157
5	1	ENST00000227163
117	1	ENST00000227322
4	1	ENST00000227349
1190	1	ENST00000227451
1112	1	ENST00000227471
147	1	ENST00000227507
193	1	ENST00000227520
1056	1	ENST00000227524
66	1	ENST00000227525
14	1	ENST00000227638
284	1	ENST00000227752
308	1	ENST00000227756
1	1	ENST00000227868
4	1	ENST00000228027
1948	1	ENST00000228136
12	1	ENST00000228140
3	1	ENST00000241014
7	1	ENST00000241051
692	1	ENST00000241052
106	1	ENST00000243662
7	1	ENST00000243673
13	1	ENST00000246747
7	1	ENST00000249923
12	1	ENST00000250024
5	1	ENST00000250699
15	1	ENST00000251871
54	1	ENST00000251968
29	1	ENST00000252108
62	1	ENST00000252268
1	1	ENST00000253925
711	1	ENST00000254436
231	1	ENST00000254579
152	1	ENST00000254605
432	1	ENST00000254616
16	1	ENST00000255082
13	1	ENST00000255681
13	1	ENST00000255695
30	1	ENST00000256196
1	1	ENST00000256733
22	1	ENST00000256996
183	1	ENST00000257245
7	1	ENST00000257261
164	1	ENST00000257262
1	1	ENST00000257264
1	1	ENST00000257359
3	1	ENST00000257818
74	1	ENST00000257829
1	1	ENST00000257831
310	1	ENST00000257836
4	1	ENST00000260058
15	1	ENST00000260191
5992	1	ENST00000260197
92	1	ENST00000260210
422	1	ENST00000260227
1	1	ENST00000260228
87	1	ENST00000260247
52	1	ENST00000260257
624	1	ENST00000260270
38	1	ENST00000260276
310	1	ENST00000263181
52	1	ENST00000263309
148	1	ENST00000263401
2	1	ENST00000263468
9	1	ENST00000263576
623	1	ENST00000263579
316	1	ENST00000263645
7	1	ENST00000263646
915	1	ENST00000263672
205	1	ENST00000263674
463	1	ENST00000263681
1564	1	ENST00000263773
739	1	ENST00000263774
121	1	ENST00000263776
1271	1	ENST00000263847
2	1	ENST00000264020
280	1	ENST00000264025
256	1	ENST00000264027
46	1	ENST00000264031
939	1	ENST00000264033
304	1	ENST00000264036
13	1	ENST00000264555
1	1	ENST00000265460
1028	1	ENST00000265462
467	1	ENST00000265465
7	1	ENST00000265637
275	1	ENST00000265641
159	1	ENST00000265689
3	1	ENST00000265840
20	1	ENST00000265843
740	1	ENST00000265909
62	1	ENST00000265963
1	1	ENST00000265965
8	1	ENST00000265978
324	1	ENST00000265981
4	1	ENST00000265983
31	1	ENST00000270115
2	1	ENST00000273550
598	1	ENST00000275517
1	1	ENST00000278174
63	1	ENST00000278193
1	1	ENST00000278200
1	1	ENST00000278302
1	1	ENST00000278314
1	1	ENST00000278319
1087	1	ENST00000278353
3	1	ENST00000278385
3131	1	ENST00000278412
54	1	ENST00000278422
197	1	ENST00000278483
882	1	ENST00000278505
7	1	ENST00000278550
15	1	ENST00000278572
7	1	ENST00000278590
667	1	ENST00000278612
571	1	ENST00000278618
29	1	ENST00000278671
7	1	ENST00000278742
280	1	ENST00000278823
8	1	ENST00000278829
3	1	ENST00000278833
1	1	ENST00000278836
11	1	ENST00000278849
225	1	ENST00000278903
1	1	ENST00000278916
452	1	ENST00000278935
2	1	ENST00000278937
83	1	ENST00000278949
2	1	ENST00000278951
8	1	ENST00000278968
2	1	ENST00000279178
53	1	ENST00000279206
9	1	ENST00000279227
3	1	ENST00000279242
36	1	ENST00000279247
2	1	ENST00000279249
17	1	ENST00000279259
543	1	ENST00000279281
12	1	ENST00000279452
1118	1	ENST00000279839
3	1	ENST00000279968
1	1	ENST00000280258
1	1	ENST00000280346
1	1	ENST00000280362
7	1	ENST00000280467
2	1	ENST00000280706
1	1	ENST00000280734
16	1	ENST00000281031
81	1	ENST00000281038
22	1	ENST00000281182
237	1	ENST00000281187
1	1	ENST00000281428
2	1	ENST00000281441
477	1	ENST00000282032
88	1	ENST00000282096
13	1	ENST00000282251
26	1	ENST00000284240
18	1	ENST00000284273
28	1	ENST00000284292
133	1	ENST00000287156
753	1	ENST00000287169
1090	1	ENST00000288937
15	1	ENST00000289575
74	1	ENST00000292079
9	1	ENST00000292174
491	1	ENST00000294064
114	1	ENST00000294066
6	1	ENST00000294117
10	1	ENST00000294119
23	1	ENST00000294161
266	1	ENST00000294168
7	1	ENST00000294179
2	1	ENST00000294187
630	1	ENST00000294244
3	1	ENST00000294256
125	1	ENST00000294258
44	1	ENST00000294304
66	1	ENST00000294309
26	1	ENST00000298198
57	1	ENST00000298229
3	1	ENST00000298251
43	1	ENST00000298281
130	1	ENST00000298317
4	1	ENST00000299001
141	1	ENST00000299240
9	1	ENST00000299355
2746	1	ENST00000299413
457	1	ENST00000299424
1	1	ENST00000299427
8	1	ENST00000299440
11	1	ENST00000299441
2	1	ENST00000299481
335	1	ENST00000299563
2	1	ENST00000299606
8	1	ENST00000299613
2	1	ENST00000299964
5	1	ENST00000300013
4	1	ENST00000300038
1959	1	ENST00000300146
578	1	ENST00000300151
1	1	ENST00000300184
19	1	ENST00000300688
122	1	ENST00000300738
3	1	ENST00000300747
44	1	ENST00000301459
101	1	ENST00000301488
3	1	ENST00000301490
11	1	ENST00000301761
2	1	ENST00000301764
253	1	ENST00000301765
10	1	ENST00000301770
2069	1	ENST00000301785
485	1	ENST00000301838
4	1	ENST00000301843
2	1	ENST00000301887
5	1	ENST00000301897
369	1	ENST00000301919
1021	1	ENST00000302503
2	1	ENST00000302514
1	1	ENST00000302731
30	1	ENST00000303296
3	1	ENST00000303459
1	1	ENST00000303697
37	1	ENST00000303927
3	1	ENST00000303941
584	1	ENST00000304271
31	1	ENST00000304363
781	1	ENST00000304987
13	1	ENST00000305218
103	1	ENST00000305494
1088	1	ENST00000305885
132	1	ENST00000306494
1	1	ENST00000307257
135	1	ENST00000307366
172	1	ENST00000307980
4	1	ENST00000307998
189	1	ENST00000308020
73	1	ENST00000308022
11	1	ENST00000308064
17	1	ENST00000308110
18	1	ENST00000308162
3	1	ENST00000308287
8	1	ENST00000308342
2	1	ENST00000308436
18	1	ENST00000308440
356	1	ENST00000308488
4144	1	ENST00000308595
8	1	ENST00000308639
20	1	ENST00000308774
3	1	ENST00000308831
1	1	ENST00000308946
4	1	ENST00000309032
347	1	ENST00000309100
7	1	ENST00000309166
827	1	ENST00000309295
1127	1	ENST00000309318
1	1	ENST00000309328
32	1	ENST00000309366
133	1	ENST00000309422
120	1	ENST00000309602
22	1	ENST00000309880
17	1	ENST00000310109
10	1	ENST00000310128
981	1	ENST00000310137
295	1	ENST00000310442
2	1	ENST00000310473
8	1	ENST00000310513
65	1	ENST00000310571
72	1	ENST00000310597
2	1	ENST00000310653
8	1	ENST00000311172
131	1	ENST00000311181
5	1	ENST00000311320
4	1	ENST00000311330
692	1	ENST00000311413
2005	1	ENST00000311481
340	1	ENST00000311604
2	1	ENST00000311713
176	1	ENST00000311764
844	1	ENST00000311956
151	1	ENST00000312175
1	1	ENST00000312234
1527	1	ENST00000312397
2	1	ENST00000312419
51	1	ENST00000312438
5	1	ENST00000312515
13	1	ENST00000312562
1348	1	ENST00000312579
39	1	ENST00000312629
2	1	ENST00000312989
2	1	ENST00000313010
3	1	ENST00000313421
1	1	ENST00000313468
23	1	ENST00000313578
8	1	ENST00000314032
2357	1	ENST00000314133
175	1	ENST00000314134
513	1	ENST00000314138
48	1	ENST00000314222
15	1	ENST00000314282
1	1	ENST00000315204
2	1	ENST00000315422
1506	1	ENST00000316059
1	1	ENST00000316375
4	1	ENST00000316409
99	1	ENST00000316461
2	1	ENST00000316529
4	1	ENST00000316924
3	1	ENST00000317037
3	1	ENST00000317121
9	1	ENST00000317449
16	1	ENST00000317568
126	1	ENST00000317811
1	1	ENST00000317829
1	1	ENST00000317834
17	1	ENST00000317945
566	1	ENST00000318950
205	1	ENST00000319006
125	1	ENST00000319023
41	1	ENST00000319863
47	1	ENST00000320578
1433	1	ENST00000320580
89	1	ENST00000320585
156	1	ENST00000320631
1	1	ENST00000320683
2	1	ENST00000320934
2673	1	ENST00000321153
6	1	ENST00000321297
16	1	ENST00000321460
248	1	ENST00000322028
53	1	ENST00000322563
75	1	ENST00000323213
11	1	ENST00000323468
36	1	ENST00000323646
31	1	ENST00000323688
391	1	ENST00000323929
2	1	ENST00000323959
18	1	ENST00000323977
152	1	ENST00000323981
40	1	ENST00000324225
4	1	ENST00000324727
10	1	ENST00000325147
16	1	ENST00000325207
161	1	ENST00000325212
2	1	ENST00000325234
1	1	ENST00000325542
17	1	ENST00000325656
1	1	ENST00000325719
128	1	ENST00000326294
104	1	ENST00000326402
5	1	ENST00000326621
1	1	ENST00000326656
5	1	ENST00000326674
69	1	ENST00000326737
1	1	ENST00000327259
9	1	ENST00000327320
432	1	ENST00000327470
6	1	ENST00000328194
11	1	ENST00000328221
